type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.04,0.5,0.1,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.04_0.5_0.1_kosarak.txt,0,14584,145.095078945
cmine_increment,0.04,0.5,0.2,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.04_0.5_0.2_kosarak.txt,2,14582,146.779127121
cmine_increment,0.04,0.5,0.3,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.04_0.5_0.3_kosarak.txt,4,14587,146.042484045
cmine_increment,0.04,0.5,0.4,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.04_0.5_0.4_kosarak.txt,2,14578,148.014162064
cmine_increment,0.04,0.5,0.5,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.04_0.5_0.5_kosarak.txt,14,14621,150.769612074
cmine_increment,0.04,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.04_0.5_0.6_kosarak.txt,12,14601,153.486016989
cmine_increment,0.04,0.5,0.7,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.04_0.5_0.7_kosarak.txt,49,14614,160.434777975
cmine_increment,0.04,0.5,0.8,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.04_0.5_0.8_kosarak.txt,6,14546,163.106626987
cmine_increment,0.04,0.5,0.9,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.04_0.5_0.9_kosarak.txt,91,14636,187.130315065
cmine_increment,0.04,0.5,0.6,5,../dataset/kosarak/kosarak_increment_5K.txt,./outputs/kosarak/kosarak_5_0.04_0.5_0.6_test_out.txt,21,6963,81.0238440037
cmine_increment,0.04,0.5,0.6,10,../dataset/kosarak/kosarak_increment_10K.txt,./outputs/kosarak/kosarak_10_0.04_0.5_0.6_test_out.txt,22,9863,102.992958069
cmine_increment,0.04,0.5,0.6,15,../dataset/kosarak/kosarak_increment_15K.txt,./outputs/kosarak/kosarak_15_0.04_0.5_0.6_test_out.txt,14,12074,123.075381994
cmine_increment,0.04,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.04_0.5_0.6_test_out.txt,11,13425,137.967031002
cmine_increment,0.04,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.04_0.5_0.6_test_out.txt,12,14601,152.356441021
cmine_increment,0.04,0.5,0.6,30,../dataset/kosarak/kosarak_increment_30K.txt,./outputs/kosarak/kosarak_30_0.04_0.5_0.6_test_out.txt,10,15686,169.597386837
cmine_increment,0.04,0.5,0.6,35,../dataset/kosarak/kosarak_increment_35K.txt,./outputs/kosarak/kosarak_35_0.04_0.5_0.6_test_out.txt,12,16630,184.983685017
cmine_increment,0.04,0.5,0.6,40,../dataset/kosarak/kosarak_increment_40K.txt,./outputs/kosarak/kosarak_40_0.04_0.5_0.6_test_out.txt,11,17500,199.61520505
cmine_increment,0.04,0.5,0.6,45,../dataset/kosarak/kosarak_increment_45K.txt,./outputs/kosarak/kosarak_45_0.04_0.5_0.6_test_out.txt,14,18276,215.916930914
cmine_increment,0.04,0.5,0.6,50,../dataset/kosarak/kosarak_increment_50K.txt,./outputs/kosarak/kosarak_50_0.04_0.5_0.6_test_out.txt,12,18995,228.394433975
cmine_increment,0.04,0.5,0.6,55,../dataset/kosarak/kosarak_increment_55K.txt,./outputs/kosarak/kosarak_55_0.04_0.5_0.6_test_out.txt,10,19549,248.100090027
cmine_increment,0.04,0.5,0.6,60,../dataset/kosarak/kosarak_increment_60K.txt,./outputs/kosarak/kosarak_60_0.04_0.5_0.6_test_out.txt,10,20126,258.166651964
cmine_increment,0.04,0.5,0.6,65,../dataset/kosarak/kosarak_increment_65K.txt,./outputs/kosarak/kosarak_65_0.04_0.5_0.6_test_out.txt,9,20642,272.354071856
cmine_increment,0.04,0.5,0.6,70,../dataset/kosarak/kosarak_increment_70K.txt,./outputs/kosarak/kosarak_70_0.04_0.5_0.6_test_out.txt,9,21189,287.368216038
cmine_increment,0.04,0.5,0.6,75,../dataset/kosarak/kosarak_increment_75K.txt,./outputs/kosarak/kosarak_75_0.04_0.5_0.6_test_out.txt,9,22094,410.437499046
cmine_increment,0.04,0.5,0.6,80,../dataset/kosarak/kosarak_increment_80K.txt,./outputs/kosarak/kosarak_80_0.04_0.5_0.6_test_out.txt,9,22512,419.784889936
cmine_increment,0.04,0.5,0.6,85,../dataset/kosarak/kosarak_increment_85K.txt,./outputs/kosarak/kosarak_85_0.04_0.5_0.6_test_out.txt,8,22890,434.160786867
cmine_increment,0.04,0.5,0.6,90,../dataset/kosarak/kosarak_increment_90K.txt,./outputs/kosarak/kosarak_90_0.04_0.5_0.6_test_out.txt,7,23222,455.061552048
cmine_increment,0.04,0.5,0.6,95,../dataset/kosarak/kosarak_increment_95K.txt,./outputs/kosarak/kosarak_95_0.04_0.5_0.6_test_out.txt,7,23670,464.154074907
cmine_increment,0.04,0.5,0.6,100,../dataset/kosarak/kosarak_increment_100K.txt,./outputs/kosarak/kosarak_100_0.04_0.5_0.6_test_out.txt,8,24007,476.461920977
