type_of_algo,minRF,minCS,maxOR,increment,inpfile,outfile,candidate_old,candidate_new,process_done
cmine_increment,0.035,0.5,0.1,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.1_kosarak.txt,0,14583,142.72488904
cmine_increment,0.035,0.5,0.2,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.2_kosarak.txt,2,14581,145.767668009
cmine_increment,0.035,0.5,0.3,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.3_kosarak.txt,4,14586,146.058104992
cmine_increment,0.035,0.5,0.4,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.4_kosarak.txt,2,14577,146.742619038
cmine_increment,0.035,0.5,0.5,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.5_kosarak.txt,14,14620,148.382631063
cmine_increment,0.035,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.6_kosarak.txt,12,14600,150.378777027
cmine_increment,0.035,0.5,0.7,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.7_kosarak.txt,49,14613,154.766963005
cmine_increment,0.035,0.5,0.8,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.8_kosarak.txt,6,14545,159.808971167
cmine_increment,0.035,0.5,0.9,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.9_kosarak.txt,91,14635,185.033856869
cmine_increment,0.035,0.5,0.6,5,../dataset/kosarak/kosarak_increment_5K.txt,./outputs/kosarak/kosarak_5_0.035_0.5_0.6_test_out.txt,33,7042,81.8510940075
cmine_increment,0.035,0.5,0.6,10,../dataset/kosarak/kosarak_increment_10K.txt,./outputs/kosarak/kosarak_10_0.035_0.5_0.6_test_out.txt,34,9940,108.971390009
cmine_increment,0.035,0.5,0.6,15,../dataset/kosarak/kosarak_increment_15K.txt,./outputs/kosarak/kosarak_15_0.035_0.5_0.6_test_out.txt,36,12160,127.77405405
cmine_increment,0.035,0.5,0.6,20,../dataset/kosarak/kosarak_increment_20K.txt,./outputs/kosarak/kosarak_20_0.035_0.5_0.6_test_out.txt,44,13514,143.10106492
cmine_increment,0.035,0.5,0.6,25,../dataset/kosarak/kosarak_increment_25K.txt,./outputs/kosarak/kosarak_25_0.035_0.5_0.6_test_out.txt,12,14600,150.48335886
cmine_increment,0.035,0.5,0.6,30,../dataset/kosarak/kosarak_increment_30K.txt,./outputs/kosarak/kosarak_30_0.035_0.5_0.6_test_out.txt,10,15685,166.775648117
cmine_increment,0.035,0.5,0.6,35,../dataset/kosarak/kosarak_increment_35K.txt,./outputs/kosarak/kosarak_35_0.035_0.5_0.6_test_out.txt,12,16629,182.405693054
cmine_increment,0.035,0.5,0.6,40,../dataset/kosarak/kosarak_increment_40K.txt,./outputs/kosarak/kosarak_40_0.035_0.5_0.6_test_out.txt,11,17499,197.776875973
cmine_increment,0.035,0.5,0.6,45,../dataset/kosarak/kosarak_increment_45K.txt,./outputs/kosarak/kosarak_45_0.035_0.5_0.6_test_out.txt,14,18275,217.492176056
cmine_increment,0.035,0.5,0.6,50,../dataset/kosarak/kosarak_increment_50K.txt,./outputs/kosarak/kosarak_50_0.035_0.5_0.6_test_out.txt,21,19080,244.859873056
cmine_increment,0.035,0.5,0.6,55,../dataset/kosarak/kosarak_increment_55K.txt,./outputs/kosarak/kosarak_55_0.035_0.5_0.6_test_out.txt,25,19634,260.109298944
cmine_increment,0.035,0.5,0.6,60,../dataset/kosarak/kosarak_increment_60K.txt,./outputs/kosarak/kosarak_60_0.035_0.5_0.6_test_out.txt,30,20213,276.596071005
cmine_increment,0.035,0.5,0.6,65,../dataset/kosarak/kosarak_increment_65K.txt,./outputs/kosarak/kosarak_65_0.035_0.5_0.6_test_out.txt,26,20729,293.306372881
cmine_increment,0.035,0.5,0.6,70,../dataset/kosarak/kosarak_increment_70K.txt,./outputs/kosarak/kosarak_70_0.035_0.5_0.6_test_out.txt,19,21273,300.688416004
cmine_increment,0.035,0.5,0.6,75,../dataset/kosarak/kosarak_increment_75K.txt,./outputs/kosarak/kosarak_75_0.035_0.5_0.6_test_out.txt,15,22176,419.145206928
cmine_increment,0.035,0.5,0.6,80,../dataset/kosarak/kosarak_increment_80K.txt,./outputs/kosarak/kosarak_80_0.035_0.5_0.6_test_out.txt,15,22595,441.856154919
cmine_increment,0.035,0.5,0.6,85,../dataset/kosarak/kosarak_increment_85K.txt,./outputs/kosarak/kosarak_85_0.035_0.5_0.6_test_out.txt,14,22971,449.083632946
cmine_increment,0.035,0.5,0.6,90,../dataset/kosarak/kosarak_increment_90K.txt,./outputs/kosarak/kosarak_90_0.035_0.5_0.6_test_out.txt,10,23302,477.611073017
cmine_increment,0.035,0.5,0.6,95,../dataset/kosarak/kosarak_increment_95K.txt,./outputs/kosarak/kosarak_95_0.035_0.5_0.6_test_out.txt,9,23747,494.274912834
cmine_increment,0.035,0.5,0.6,100,../dataset/kosarak/kosarak_increment_100K.txt,./outputs/kosarak/kosarak_100_0.035_0.5_0.6_test_out.txt,8,24082,507.463488817
