type_of_algo,minRF,minCS,maxOR,inpfile,outfile,data_read,patterns_checked,process_done
cmine,0.035,0.5,0.1,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.1_kosarak_125K.txt,0.4200971127,98,5.9982981682
cmine,0.035,0.5,0.2,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.2_kosarak_125K.txt,0.3186180592,131,8.2575659752
cmine,0.035,0.5,0.3,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.3_kosarak_125K.txt,0.319423914,214,14.0446898937
cmine,0.035,0.5,0.4,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.4_kosarak_125K.txt,0.3440878391,341,24.5107719898
cmine,0.035,0.5,0.5,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.5_kosarak_125K.txt,0.3215389252,559,38.6691629887
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_125K.txt,0.3130071163,850,59.7639989853
cmine,0.035,0.5,0.7,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.7_kosarak_125K.txt,0.31529212,1277,91.6360900402
cmine,0.035,0.5,0.8,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.8_kosarak_125K.txt,0.3163239956,1879,134.586606979
cmine,0.035,0.5,0.9,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.9_kosarak_125K.txt,0.3487010002,3765,255.357424974
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_105K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_105K.txt,0.2599229813,1523,94.0597820282
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_110K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_110K.txt,0.2684311867,1522,95.5356600285
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_115K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_115K.txt,0.2799530029,1535,99.2868149281
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_120K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_120K.txt,0.361330986,1540,107.795557022
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_125K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_125K.txt,0.3025109768,850,56.3549158573
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_130K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_130K.txt,0.3184709549,850,59.4284360409
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_135K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_135K.txt,0.3260059357,854,64.3129279613
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_140K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_140K.txt,0.3375439644,853,63.6161079407
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_145K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_145K.txt,0.3449289799,853,67.1438350677
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_150K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_150K.txt,0.4195361137,1538,129.437349081
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_155K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_155K.txt,0.401925087,1532,135.584047079
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_160K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_160K.txt,0.4327828884,1534,139.334532022
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_165K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_165K.txt,0.4398400784,1534,138.453974962
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_170K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_170K.txt,0.4629819393,1533,154.950447798
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_175K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_175K.txt,0.4712529182,1529,147.661934137
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_180K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_180K.txt,0.481359005,1529,151.82824111
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_185K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_185K.txt,0.5009019375,1527,155.508713007
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_190K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_190K.txt,0.4434289932,1524,159.378000021
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_195K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_195K.txt,0.5298199654,1521,167.377423048
cmine,0.035,0.5,0.6,./../dataset/kosarak/kosarak_200K.txt,././outputs/kosarak/kosarak_0.035_0.5_0.6_kosarak_200K.txt,0.5126368999,1522,172.419709921
